group25, d : 440, weight = 0.250000, result = 11
group25, d : 490, weight = 0.250000, result = 11
group25, d : 470, weight = 0.250000, result = 9
group25, d : 380, weight = 0.250000, result = 18
group25, d : 310, weight = 0.250000, result = 11
group25, d : 410, weight = 0.250000, result = 20
group25, d : 330, weight = 0.250000, result = 15
group25, d : 230, weight = 0.250000, result = 10
group25, d : 210, weight = 0.250000, result = 8
group25, d : 260, weight = 0.250000, result = 11
group25, d : 130, weight = 0.250000, result = 10
group25, d : 100, weight = 0.250000, result = 9
group25, d : 0, weight = 0.250000, result = 12
group25, d : 120, weight = 0.250000, result = 14
group25, d : 180, weight = 0.250000, result = 11
group25, d : 170, weight = 0.250000, result = 7
group25, d : 150, weight = 0.250000, result = 16
group25, d : 40, weight = 0.250000, result = 14
group25, d : 110, weight = 0.250000, result = 8
group25, d : 10, weight = 0.250000, result = 5
group25, d : 20, weight = 0.250000, result = 14
group25, d : 270, weight = 0.250000, result = 4
group25, d : 400, weight = 0.250000, result = 8
group25, d : 480, weight = 0.250000, result = 6
group25, d : 320, weight = 0.250000, result = 12
group25, d : 420, weight = 0.250000, result = 14
group25, d : 430, weight = 0.250000, result = 12
group25, d : 450, weight = 0.250000, result = 4
group25, d : 460, weight = 0.250000, result = 8
group25, d : 340, weight = 0.250000, result = 10
group25, d : 390, weight = 0.250000, result = 14
group25, d : 370, weight = 0.250000, result = 10
group25, d : 350, weight = 0.250000, result = 14
group25, d : 300, weight = 0.250000, result = 12
group25, d : 360, weight = 0.250000, result = 7
group25, d : 240, weight = 0.250000, result = 12
group25, d : 290, weight = 0.250000, result = 3
group25, d : 90, weight = 0.250000, result = 11
group25, d : 160, weight = 0.250000, result = 12
group25, d : 50, weight = 0.250000, result = 6
group25, d : 60, weight = 0.250000, result = 5
group25, d : 140, weight = 0.250000, result = 9
group25, d : 70, weight = 0.250000, result = 10
group25, d : 220, weight = 0.250000, result = 13
group25, d : 200, weight = 0.250000, result = 7
group25, d : 80, weight = 0.250000, result = 16
group25, d : 250, weight = 0.250000, result = 14
group25, d : 280, weight = 0.250000, result = 10
group25, d : 190, weight = 0.250000, result = 13
group25, d : 30, weight = 0.250000, result = 14
group25, d : 440, weight = 0.375000, result = 5
group25, d : 490, weight = 0.375000, result = 13
group25, d : 410, weight = 0.375000, result = 12
group25, d : 310, weight = 0.375000, result = 9
group25, d : 380, weight = 0.375000, result = 10
group25, d : 470, weight = 0.375000, result = 9
group25, d : 330, weight = 0.375000, result = 7
group25, d : 120, weight = 0.375000, result = 8
group25, d : 230, weight = 0.375000, result = 9
group25, d : 110, weight = 0.375000, result = 10
group25, d : 210, weight = 0.375000, result = 7
group25, d : 100, weight = 0.375000, result = 5
group25, d : 260, weight = 0.375000, result = 10
group25, d : 270, weight = 0.375000, result = 8
group25, d : 180, weight = 0.375000, result = 8
group25, d : 0, weight = 0.375000, result = 10
group25, d : 130, weight = 0.375000, result = 10
group25, d : 170, weight = 0.375000, result = 10
group25, d : 150, weight = 0.375000, result = 5
group25, d : 40, weight = 0.375000, result = 10
group25, d : 20, weight = 0.375000, result = 8
group25, d : 10, weight = 0.375000, result = 10
group25, d : 400, weight = 0.375000, result = 9
group25, d : 480, weight = 0.375000, result = 6
group25, d : 450, weight = 0.375000, result = 10
group25, d : 460, weight = 0.375000, result = 11
group25, d : 320, weight = 0.375000, result = 11
group25, d : 420, weight = 0.375000, result = 6
group25, d : 430, weight = 0.375000, result = 9
group25, d : 390, weight = 0.375000, result = 9
group25, d : 370, weight = 0.375000, result = 15
group25, d : 350, weight = 0.375000, result = 6
group25, d : 300, weight = 0.375000, result = 11
group25, d : 360, weight = 0.375000, result = 15
group25, d : 60, weight = 0.375000, result = 6
group25, d : 70, weight = 0.375000, result = 5
group25, d : 340, weight = 0.375000, result = 6
group25, d : 50, weight = 0.375000, result = 7
group25, d : 140, weight = 0.375000, result = 13
group25, d : 90, weight = 0.375000, result = 16
group25, d : 290, weight = 0.375000, result = 7
group25, d : 240, weight = 0.375000, result = 6
group25, d : 190, weight = 0.375000, result = 9
group25, d : 160, weight = 0.375000, result = 10
group25, d : 280, weight = 0.375000, result = 11
group25, d : 250, weight = 0.375000, result = 9
group25, d : 200, weight = 0.375000, result = 8
group25, d : 220, weight = 0.375000, result = 9
group25, d : 80, weight = 0.375000, result = 8
group25, d : 30, weight = 0.375000, result = 10
group25, d : 490, weight = 0.500000, result = 6
group25, d : 440, weight = 0.500000, result = 5
group25, d : 410, weight = 0.500000, result = 5
group25, d : 310, weight = 0.500000, result = 10
group25, d : 470, weight = 0.500000, result = 9
group25, d : 380, weight = 0.500000, result = 8
group25, d : 120, weight = 0.500000, result = 7
group25, d : 110, weight = 0.500000, result = 6
group25, d : 330, weight = 0.500000, result = 8
group25, d : 230, weight = 0.500000, result = 8
group25, d : 150, weight = 0.500000, result = 9
group25, d : 100, weight = 0.500000, result = 9
group25, d : 210, weight = 0.500000, result = 17
group25, d : 260, weight = 0.500000, result = 6
group25, d : 180, weight = 0.500000, result = 13
group25, d : 270, weight = 0.500000, result = 5
group25, d : 170, weight = 0.500000, result = 4
group25, d : 130, weight = 0.500000, result = 11
group25, d : 40, weight = 0.500000, result = 3
group25, d : 20, weight = 0.500000, result = 12
group25, d : 10, weight = 0.500000, result = 8
group25, d : 400, weight = 0.500000, result = 9
group25, d : 0, weight = 0.500000, result = 5
group25, d : 90, weight = 0.500000, result = 8
group25, d : 480, weight = 0.500000, result = 11
group25, d : 450, weight = 0.500000, result = 11
group25, d : 460, weight = 0.500000, result = 7
group25, d : 320, weight = 0.500000, result = 10
group25, d : 420, weight = 0.500000, result = 7
group25, d : 140, weight = 0.500000, result = 6
group25, d : 390, weight = 0.500000, result = 5
group25, d : 430, weight = 0.500000, result = 8
group25, d : 370, weight = 0.500000, result = 7
group25, d : 70, weight = 0.500000, result = 8
group25, d : 350, weight = 0.500000, result = 13
group25, d : 190, weight = 0.500000, result = 11
group25, d : 300, weight = 0.500000, result = 5
group25, d : 50, weight = 0.500000, result = 13
group25, d : 340, weight = 0.500000, result = 4
group25, d : 60, weight = 0.500000, result = 10
group25, d : 360, weight = 0.500000, result = 10
group25, d : 160, weight = 0.500000, result = 10
group25, d : 240, weight = 0.500000, result = 9
group25, d : 290, weight = 0.500000, result = 4
group25, d : 220, weight = 0.500000, result = 14
group25, d : 200, weight = 0.500000, result = 6
group25, d : 280, weight = 0.500000, result = 6
group25, d : 250, weight = 0.500000, result = 8
group25, d : 80, weight = 0.500000, result = 12
group25, d : 30, weight = 0.500000, result = 10
group25, d : 491, weight = 0.250000, result = 105
group25, d : 441, weight = 0.250000, result = 98
group25, d : 471, weight = 0.250000, result = 99
group25, d : 121, weight = 0.250000, result = 95
group25, d : 411, weight = 0.250000, result = 91
group25, d : 311, weight = 0.250000, result = 100
group25, d : 381, weight = 0.250000, result = 98
group25, d : 231, weight = 0.250000, result = 110
group25, d : 111, weight = 0.250000, result = 84
group25, d : 331, weight = 0.250000, result = 100
group25, d : 211, weight = 0.250000, result = 112
group25, d : 151, weight = 0.250000, result = 102
group25, d : 181, weight = 0.250000, result = 97
group25, d : 261, weight = 0.250000, result = 100
group25, d : 271, weight = 0.250000, result = 101
group25, d : 101, weight = 0.250000, result = 87
group25, d : 171, weight = 0.250000, result = 97
group25, d : 131, weight = 0.250000, result = 97
group25, d : 401, weight = 0.250000, result = 111
group25, d : 41, weight = 0.250000, result = 91
group25, d : 21, weight = 0.250000, result = 99
group25, d : 11, weight = 0.250000, result = 96
group25, d : 1, weight = 0.250000, result = 96
group25, d : 91, weight = 0.250000, result = 96
group25, d : 481, weight = 0.250000, result = 104
group25, d : 461, weight = 0.250000, result = 113
group25, d : 451, weight = 0.250000, result = 90
group25, d : 421, weight = 0.250000, result = 96
group25, d : 141, weight = 0.250000, result = 113
group25, d : 321, weight = 0.250000, result = 96
group25, d : 191, weight = 0.250000, result = 101
group25, d : 431, weight = 0.250000, result = 90
group25, d : 71, weight = 0.250000, result = 110
group25, d : 391, weight = 0.250000, result = 94
group25, d : 371, weight = 0.250000, result = 99
group25, d : 351, weight = 0.250000, result = 99
group25, d : 241, weight = 0.250000, result = 89
group25, d : 51, weight = 0.250000, result = 98
group25, d : 161, weight = 0.250000, result = 99
group25, d : 341, weight = 0.250000, result = 110
group25, d : 61, weight = 0.250000, result = 90
group25, d : 221, weight = 0.250000, result = 90
group25, d : 301, weight = 0.250000, result = 89
group25, d : 361, weight = 0.250000, result = 95
group25, d : 251, weight = 0.250000, result = 93
group25, d : 201, weight = 0.250000, result = 100
group25, d : 291, weight = 0.250000, result = 80
group25, d : 281, weight = 0.250000, result = 93
group25, d : 31, weight = 0.250000, result = 107
group25, d : 81, weight = 0.250000, result = 89
group25, d : 491, weight = 0.375000, result = 147
group25, d : 441, weight = 0.375000, result = 138
group25, d : 121, weight = 0.375000, result = 160
group25, d : 471, weight = 0.375000, result = 156
group25, d : 231, weight = 0.375000, result = 156
group25, d : 411, weight = 0.375000, result = 144
group25, d : 311, weight = 0.375000, result = 125
group25, d : 381, weight = 0.375000, result = 151
group25, d : 151, weight = 0.375000, result = 149
group25, d : 111, weight = 0.375000, result = 132
group25, d : 211, weight = 0.375000, result = 159
group25, d : 261, weight = 0.375000, result = 171
group25, d : 331, weight = 0.375000, result = 143
group25, d : 181, weight = 0.375000, result = 156
group25, d : 271, weight = 0.375000, result = 143
group25, d : 101, weight = 0.375000, result = 147
group25, d : 171, weight = 0.375000, result = 148
group25, d : 401, weight = 0.375000, result = 136
group25, d : 131, weight = 0.375000, result = 156
group25, d : 41, weight = 0.375000, result = 151
group25, d : 21, weight = 0.375000, result = 144
group25, d : 11, weight = 0.375000, result = 127
group25, d : 91, weight = 0.375000, result = 130
group25, d : 1, weight = 0.375000, result = 156
group25, d : 421, weight = 0.375000, result = 148
group25, d : 481, weight = 0.375000, result = 150
group25, d : 461, weight = 0.375000, result = 147
group25, d : 451, weight = 0.375000, result = 155
group25, d : 141, weight = 0.375000, result = 139
group25, d : 321, weight = 0.375000, result = 128
group25, d : 431, weight = 0.375000, result = 131
group25, d : 191, weight = 0.375000, result = 161
group25, d : 241, weight = 0.375000, result = 126
group25, d : 201, weight = 0.375000, result = 143
group25, d : 161, weight = 0.375000, result = 139
group25, d : 391, weight = 0.375000, result = 152
group25, d : 371, weight = 0.375000, result = 124
group25, d : 71, weight = 0.375000, result = 145
group25, d : 251, weight = 0.375000, result = 145
group25, d : 351, weight = 0.375000, result = 160
group25, d : 301, weight = 0.375000, result = 161
group25, d : 221, weight = 0.375000, result = 138
group25, d : 51, weight = 0.375000, result = 130
group25, d : 361, weight = 0.375000, result = 149
group25, d : 341, weight = 0.375000, result = 156
group25, d : 61, weight = 0.375000, result = 159
group25, d : 281, weight = 0.375000, result = 146
group25, d : 291, weight = 0.375000, result = 142
group25, d : 31, weight = 0.375000, result = 159
group25, d : 81, weight = 0.375000, result = 145
group25, d : 491, weight = 0.500000, result = 216
group25, d : 441, weight = 0.500000, result = 199
group25, d : 121, weight = 0.500000, result = 171
group25, d : 231, weight = 0.500000, result = 188
group25, d : 471, weight = 0.500000, result = 171
group25, d : 411, weight = 0.500000, result = 199
group25, d : 311, weight = 0.500000, result = 196
group25, d : 381, weight = 0.500000, result = 182
group25, d : 261, weight = 0.500000, result = 167
group25, d : 211, weight = 0.500000, result = 167
group25, d : 151, weight = 0.500000, result = 173
group25, d : 111, weight = 0.500000, result = 204
