,0.25,0.375,0.5
0,24.0,23.0,10.0
1,14.0,10.0,8.0
2,10.0,17.0,9.0
3,11.0,10.0,13.0
4,15.0,8.0,24.0
5,13.0,6.0,23.0
6,13.0,13.0,10.0
7,9.0,17.0,8.0
8,17.0,22.0,11.0
9,12.0,15.0,4.0
10,12.0,10.0,30.0
11,15.0,9.0,7.0
12,11.0,22.0,11.0
13,17.0,11.0,5.0
14,8.0,5.0,3.0
15,11.0,9.0,5.0
16,12.0,14.0,10.0
17,7.0,15.0,10.0
18,5.0,9.0,22.0
19,16.0,11.0,5.0
20,12.0,15.0,10.0
21,18.0,17.0,18.0
22,9.0,21.0,28.0
23,13.0,14.0,10.0
24,10.0,11.0,18.0
25,9.0,12.0,9.0
26,9.0,14.0,8.0
27,10.0,13.0,23.0
28,18.0,7.0,12.0
29,15.0,15.0,7.0
30,12.0,11.0,12.0
31,13.0,12.0,7.0
32,9.0,15.0,12.0
33,10.0,7.0,8.0
34,12.0,7.0,11.0
35,12.0,11.0,12.0
36,10.0,5.0,4.0
37,13.0,12.0,11.0
38,13.0,9.0,6.0
39,12.0,13.0,17.0
40,12.0,11.0,9.0
41,8.0,9.0,8.0
42,21.0,11.0,9.0
43,11.0,13.0,10.0
44,11.0,12.0,11.0
45,14.0,13.0,5.0
46,9.0,17.0,7.0
47,13.0,14.0,17.0
48,12.0,7.0,27.0
49,11.0,13.0,6.0
50,15.0,10.0,16.0
51,8.0,17.0,10.0
52,15.0,8.0,4.0
53,20.0,14.0,8.0
54,10.0,10.0,30.0
55,12.0,10.0,21.0
56,15.0,12.0,7.0
57,13.0,16.0,10.0
58,9.0,10.0,17.0
59,5.0,19.0,6.0
60,11.0,22.0,6.0
61,14.0,21.0,29.0
62,10.0,14.0,11.0
63,13.0,15.0,10.0
64,16.0,19.0,6.0
65,22.0,21.0,14.0
66,11.0,18.0,5.0
67,7.0,11.0,15.0
68,13.0,10.0,25.0
69,5.0,13.0,13.0
70,16.0,4.0,9.0
71,8.0,12.0,11.0
72,15.0,4.0,46.0
73,9.0,19.0,7.0
74,16.0,12.0,4.0
75,12.0,7.0,12.0
76,11.0,11.0,27.0
77,11.0,17.0,25.0
78,15.0,6.0,10.0
79,7.0,10.0,11.0
80,17.0,20.0,7.0
81,16.0,10.0,7.0
82,16.0,14.0,9.0
83,12.0,8.0,6.0
84,11.0,17.0,14.0
85,16.0,21.0,12.0
86,8.0,29.0,12.0
87,9.0,11.0,9.0
88,10.0,5.0,6.0
89,4.0,10.0,12.0
90,15.0,18.0,6.0
91,8.0,9.0,14.0
92,10.0,8.0,11.0
93,10.0,6.0,10.0
94,12.0,9.0,4.0
95,8.0,16.0,8.0
96,14.0,13.0,31.0
97,13.0,8.0,9.0
98,10.0,14.0,9.0
99,7.0,10.0,7.0
100,10.0,14.0,30.0
101,10.0,11.0,8.0
102,10.0,13.0,8.0
103,12.0,9.0,22.0
104,14.0,14.0,10.0
105,18.0,8.0,13.0
106,13.0,14.0,5.0
107,11.0,13.0,9.0
108,11.0,17.0,7.0
109,13.0,5.0,8.0
110,16.0,8.0,31.0
111,6.0,9.0,6.0
112,10.0,12.0,6.0
113,13.0,11.0,9.0
114,11.0,11.0,12.0
115,15.0,12.0,4.0
116,12.0,18.0,9.0
117,20.0,7.0,30.0
118,11.0,11.0,11.0
119,6.0,9.0,5.0
120,15.0,14.0,9.0
121,11.0,12.0,14.0
122,12.0,11.0,10.0
123,12.0,10.0,16.0
124,9.0,19.0,35.0
125,12.0,10.0,15.0
126,11.0,13.0,16.0
127,18.0,9.0,6.0
128,21.0,18.0,7.0
129,16.0,13.0,9.0
130,13.0,14.0,7.0
131,12.0,9.0,6.0
132,16.0,23.0,11.0
133,18.0,16.0,3.0
134,8.0,7.0,5.0
135,25.0,20.0,6.0
136,14.0,10.0,7.0
137,19.0,9.0,22.0
138,16.0,12.0,6.0
139,10.0,14.0,9.0
140,8.0,16.0,6.0
141,12.0,10.0,10.0
142,25.0,19.0,11.0
143,16.0,5.0,9.0
144,11.0,7.0,9.0
145,9.0,10.0,13.0
146,19.0,16.0,11.0
147,12.0,7.0,8.0
148,12.0,8.0,6.0
149,15.0,10.0,2.0
150,9.0,17.0,12.0
151,6.0,7.0,7.0
152,7.0,13.0,12.0
153,11.0,8.0,20.0
154,10.0,25.0,10.0
155,14.0,7.0,7.0
156,3.0,27.0,8.0
157,13.0,4.0,10.0
158,10.0,22.0,15.0
159,10.0,14.0,7.0
160,11.0,10.0,16.0
161,15.0,12.0,4.0
162,15.0,9.0,18.0
163,14.0,7.0,25.0
164,6.0,11.0,23.0
165,9.0,9.0,7.0
166,10.0,12.0,6.0
167,15.0,10.0,11.0
168,11.0,8.0,17.0
169,18.0,7.0,12.0
170,14.0,5.0,6.0
171,13.0,11.0,4.0
172,13.0,9.0,9.0
173,9.0,9.0,13.0
174,16.0,11.0,26.0
175,8.0,12.0,17.0
176,14.0,20.0,9.0
177,11.0,14.0,6.0
178,14.0,13.0,11.0
179,15.0,10.0,6.0
180,13.0,19.0,6.0
181,8.0,14.0,6.0
182,11.0,12.0,8.0
183,11.0,16.0,30.0
184,8.0,14.0,14.0
185,8.0,5.0,8.0
186,10.0,14.0,8.0
187,12.0,11.0,9.0
188,12.0,6.0,25.0
189,7.0,23.0,12.0
190,16.0,12.0,10.0
191,14.0,8.0,8.0
192,15.0,14.0,13.0
193,13.0,8.0,5.0
194,13.0,8.0,11.0
195,9.0,12.0,11.0
196,10.0,13.0,8.0
197,13.0,6.0,11.0
198,10.0,13.0,7.0
199,12.0,13.0,3.0
200,20.0,11.0,25.0
201,17.0,9.0,11.0
202,10.0,12.0,13.0
203,11.0,14.0,12.0
204,15.0,11.0,4.0
205,12.0,22.0,7.0
206,10.0,12.0,13.0
207,11.0,15.0,5.0
208,13.0,8.0,5.0
209,12.0,10.0,5.0
210,18.0,9.0,22.0
211,21.0,10.0,25.0
212,12.0,11.0,7.0
213,16.0,12.0,10.0
214,14.0,14.0,5.0
215,7.0,20.0,11.0
216,9.0,13.0,9.0
217,9.0,13.0,8.0
218,10.0,11.0,8.0
219,7.0,22.0,27.0
220,20.0,5.0,17.0
221,13.0,9.0,20.0
222,11.0,9.0,6.0
223,10.0,19.0,33.0
224,16.0,14.0,14.0
225,15.0,9.0,10.0
226,11.0,8.0,9.0
227,12.0,12.0,11.0
228,15.0,4.0,11.0
229,9.0,11.0,23.0
230,19.0,9.0,13.0
231,15.0,9.0,9.0
232,12.0,11.0,10.0
233,12.0,17.0,10.0
234,5.0,7.0,12.0
235,13.0,14.0,14.0
236,16.0,12.0,7.0
237,18.0,10.0,12.0
238,14.0,10.0,11.0
239,14.0,4.0,6.0
240,12.0,9.0,12.0
241,14.0,13.0,24.0
242,17.0,5.0,10.0
243,13.0,10.0,23.0
244,11.0,24.0,8.0
