,0.25,0.375,0.5
0,13.0,7.0,12.0
1,9.0,5.0,13.0
2,13.0,16.0,14.0
3,14.0,15.0,22.0
4,18.0,10.0,2.0
5,7.0,9.0,5.0
6,11.0,16.0,28.0
7,11.0,6.0,11.0
8,9.0,14.0,15.0
9,13.0,11.0,6.0
10,9.0,20.0,8.0
11,18.0,7.0,8.0
12,16.0,12.0,22.0
13,10.0,12.0,4.0
14,16.0,6.0,18.0
15,13.0,9.0,15.0
16,4.0,17.0,23.0
17,9.0,9.0,8.0
18,18.0,12.0,6.0
19,16.0,14.0,8.0
20,10.0,7.0,9.0
21,16.0,15.0,4.0
22,10.0,14.0,10.0
23,15.0,3.0,10.0
24,8.0,17.0,8.0
25,11.0,9.0,20.0
26,11.0,19.0,10.0
27,13.0,14.0,6.0
28,13.0,8.0,13.0
29,15.0,14.0,13.0
30,10.0,25.0,8.0
31,12.0,13.0,8.0
32,8.0,8.0,11.0
33,9.0,11.0,15.0
34,12.0,7.0,13.0
35,18.0,15.0,13.0
36,13.0,15.0,7.0
37,9.0,19.0,13.0
38,14.0,13.0,17.0
39,11.0,10.0,9.0
40,9.0,8.0,9.0
41,10.0,8.0,7.0
42,14.0,28.0,5.0
43,12.0,6.0,9.0
44,15.0,11.0,6.0
45,17.0,13.0,27.0
46,9.0,28.0,16.0
47,9.0,8.0,12.0
48,19.0,11.0,7.0
49,10.0,13.0,11.0
50,13.0,9.0,6.0
51,7.0,19.0,5.0
52,16.0,16.0,14.0
53,8.0,9.0,6.0
54,13.0,10.0,7.0
55,10.0,18.0,7.0
56,10.0,14.0,9.0
57,21.0,12.0,9.0
58,8.0,10.0,11.0
59,11.0,8.0,7.0
60,15.0,4.0,11.0
61,17.0,9.0,3.0
62,13.0,15.0,6.0
63,13.0,13.0,6.0
64,8.0,11.0,11.0
65,12.0,9.0,9.0
66,10.0,11.0,24.0
67,19.0,7.0,11.0
68,9.0,17.0,8.0
69,15.0,12.0,6.0
70,8.0,8.0,8.0
71,13.0,17.0,5.0
72,12.0,14.0,8.0
73,14.0,9.0,24.0
74,11.0,9.0,8.0
75,8.0,7.0,8.0
76,18.0,6.0,9.0
77,12.0,6.0,8.0
78,19.0,9.0,12.0
79,15.0,15.0,11.0
80,15.0,11.0,20.0
81,12.0,12.0,8.0
82,14.0,9.0,29.0
83,13.0,23.0,16.0
84,11.0,10.0,8.0
85,12.0,15.0,8.0
86,12.0,10.0,8.0
87,13.0,8.0,28.0
88,6.0,19.0,11.0
89,8.0,9.0,6.0
90,7.0,17.0,4.0
91,5.0,8.0,10.0
92,11.0,11.0,13.0
93,15.0,6.0,8.0
94,4.0,10.0,14.0
95,8.0,12.0,22.0
96,17.0,12.0,8.0
97,6.0,17.0,13.0
98,13.0,18.0,11.0
99,13.0,18.0,10.0
100,13.0,10.0,26.0
101,14.0,22.0,18.0
102,9.0,17.0,15.0
103,14.0,16.0,20.0
104,16.0,7.0,13.0
105,6.0,20.0,6.0
106,15.0,11.0,16.0
107,8.0,6.0,6.0
108,7.0,6.0,11.0
109,15.0,17.0,9.0
110,19.0,13.0,6.0
111,8.0,12.0,24.0
112,13.0,17.0,9.0
113,21.0,20.0,6.0
114,5.0,14.0,18.0
115,10.0,7.0,14.0
116,14.0,8.0,13.0
117,10.0,13.0,6.0
