d: 1, weight: [0.25, 0.7, 0.05], result: 4
d: 1, weight: [0.25, 0.6, 0.15], result: 7
d: 1, weight: [0.25, 0.5, 0.25], result: 12
d: 1, weight: [0.2, 0.7, 0.1], result: 8
d: 1, weight: [0.2, 0.6, 0.2], result: 12
d: 1, weight: [0.2, 0.5, 0.3], result: 11
d: 1, weight: [0.15, 0.55, 0.3], result: 19
d: 1, weight: [0.25, 0.7, 0.05], result: 19
d: 1, weight: [0.25, 0.6, 0.15], result: 16
d: 1, weight: [0.25, 0.5, 0.25], result: 23
d: 1, weight: [0.2, 0.7, 0.1], result: 15
d: 1, weight: [0.2, 0.6, 0.2], result: 17
d: 1, weight: [0.2, 0.5, 0.3], result: 20
d: 1, weight: [0.15, 0.55, 0.3], result: 13
d: 2, weight: [0.25, 0.7, 0.05], result: 10
d: 2, weight: [0.25, 0.6, 0.15], result: 10
d: 2, weight: [0.25, 0.5, 0.25], result: 8
d: 2, weight: [0.2, 0.7, 0.1], result: 6
d: 2, weight: [0.2, 0.6, 0.2], result: 9
d: 2, weight: [0.2, 0.5, 0.3], result: 17
d: 2, weight: [0.15, 0.55, 0.3], result: 7
d: 3, weight: [0.25, 0.7, 0.05], result: 14
d: 3, weight: [0.25, 0.6, 0.15], result: 13
d: 3, weight: [0.25, 0.5, 0.25], result: 17
d: 3, weight: [0.2, 0.7, 0.1], result: 17
d: 3, weight: [0.2, 0.6, 0.2], result: 15
d: 3, weight: [0.2, 0.5, 0.3], result: 11
d: 3, weight: [0.15, 0.55, 0.3], result: 16
d: 4, weight: [0.25, 0.7, 0.05], result: 12
d: 4, weight: [0.25, 0.6, 0.15], result: 12
d: 4, weight: [0.25, 0.5, 0.25], result: 10
d: 4, weight: [0.2, 0.7, 0.1], result: 17
d: 4, weight: [0.2, 0.6, 0.2], result: 12
d: 4, weight: [0.2, 0.5, 0.3], result: 12
d: 4, weight: [0.15, 0.55, 0.3], result: 12
d: 5, weight: [0.25, 0.7, 0.05], result: 14
