group1 : d : 740, weight = 0.100000, result = 4
group2 : d : 740, weight = 0.100000, result = 6
group3 : d : 740, weight = 0.100000, result = 5
group1 : d : 700, weight = 0.100000, result = 4
group2 : d : 700, weight = 0.100000, result = 5
group3 : d : 700, weight = 0.100000, result = 4
group1 : d : 640, weight = 0.100000, result = 5
group2 : d : 640, weight = 0.100000, result = 7
group3 : d : 640, weight = 0.100000, result = 5
group1 : d : 650, weight = 0.100000, result = 6
group2 : d : 650, weight = 0.100000, result = 8
group3 : d : 650, weight = 0.100000, result = 7
group1 : d : 630, weight = 0.100000, result = 13
group2 : d : 630, weight = 0.100000, result = 10
group3 : d : 630, weight = 0.100000, result = 9
group1 : d : 570, weight = 0.100000, result = 11
group2 : d : 570, weight = 0.100000, result = 7
group3 : d : 570, weight = 0.100000, result = 6
group1 : d : 710, weight = 0.100000, result = 8
group2 : d : 710, weight = 0.100000, result = 6
group3 : d : 710, weight = 0.100000, result = 7
group1 : d : 490, weight = 0.100000, result = 10
group2 : d : 490, weight = 0.100000, result = 9
group3 : d : 490, weight = 0.100000, result = 9
group1 : d : 520, weight = 0.100000, result = 4
group2 : d : 520, weight = 0.100000, result = 8
group3 : d : 520, weight = 0.100000, result = 5
group1 : d : 580, weight = 0.100000, result = 10
group2 : d : 580, weight = 0.100000, result = 5
group3 : d : 580, weight = 0.100000, result = 3
group1 : d : 500, weight = 0.100000, result = 9
group2 : d : 500, weight = 0.100000, result = 12
group3 : d : 500, weight = 0.100000, result = 8
group1 : d : 670, weight = 0.100000, result = 11
group2 : d : 670, weight = 0.100000, result = 7
group3 : d : 670, weight = 0.100000, result = 9
group1 : d : 610, weight = 0.100000, result = 8
group2 : d : 610, weight = 0.100000, result = 13
group3 : d : 610, weight = 0.100000, result = 4
group1 : d : 420, weight = 0.100000, result = 5
group2 : d : 420, weight = 0.100000, result = 10
group3 : d : 420, weight = 0.100000, result = 5
group1 : d : 590, weight = 0.100000, result = 8
group2 : d : 590, weight = 0.100000, result = 7
group3 : d : 590, weight = 0.100000, result = 6
group1 : d : 380, weight = 0.100000, result = 9
group2 : d : 380, weight = 0.100000, result = 8
group3 : d : 380, weight = 0.100000, result = 15
group1 : d : 360, weight = 0.100000, result = 14
group2 : d : 360, weight = 0.100000, result = 8
group3 : d : 360, weight = 0.100000, result = 8
group1 : d : 720, weight = 0.100000, result = 10
group2 : d : 720, weight = 0.100000, result = 12
group3 : d : 720, weight = 0.100000, result = 10
group1 : d : 390, weight = 0.100000, result = 10
group2 : d : 390, weight = 0.100000, result = 5
group3 : d : 390, weight = 0.100000, result = 5
group1 : d : 730, weight = 0.100000, result = 13
group2 : d : 730, weight = 0.100000, result = 11
group3 : d : 730, weight = 0.100000, result = 5
group1 : d : 450, weight = 0.100000, result = 5
group2 : d : 450, weight = 0.100000, result = 10
group3 : d : 450, weight = 0.100000, result = 6
group1 : d : 460, weight = 0.100000, result = 12
group2 : d : 460, weight = 0.100000, result = 7
group3 : d : 460, weight = 0.100000, result = 7
group1 : d : 440, weight = 0.100000, result = 10
group2 : d : 440, weight = 0.100000, result = 20
group3 : d : 440, weight = 0.100000, result = 7
