group : 1, d : 490, weight = 0.100000, result = 11
group : 1, d : 390, weight = 0.100000, result = 9
group : 1, d : 340, weight = 0.100000, result = 8
group : 1, d : 300, weight = 0.100000, result = 8
group : 1, d : 310, weight = 0.100000, result = 13
group : 1, d : 290, weight = 0.100000, result = 10
group : 1, d : 70, weight = 0.100000, result = 11
group : 1, d : 220, weight = 0.100000, result = 11
group : 1, d : 90, weight = 0.100000, result = 8
group : 1, d : 10, weight = 0.100000, result = 16
group : 1, d : 480, weight = 0.100000, result = 14
group : 1, d : 470, weight = 0.100000, result = 6
group : 1, d : 440, weight = 0.100000, result = 14
group : 1, d : 450, weight = 0.100000, result = 13
group : 1, d : 430, weight = 0.100000, result = 15
group : 1, d : 460, weight = 0.100000, result = 15
group : 1, d : 400, weight = 0.100000, result = 9
group : 1, d : 420, weight = 0.100000, result = 22
group : 1, d : 410, weight = 0.100000, result = 16
group : 1, d : 360, weight = 0.100000, result = 9
group : 1, d : 370, weight = 0.100000, result = 43
group : 1, d : 170, weight = 0.100000, result = 16
group : 1, d : 350, weight = 0.100000, result = 12
group : 1, d : 320, weight = 0.100000, result = 8
group : 1, d : 330, weight = 0.100000, result = 9
group : 1, d : 0, weight = 0.100000, result = 7
group : 1, d : 380, weight = 0.100000, result = 11
group : 1, d : 280, weight = 0.100000, result = 10
group : 1, d : 260, weight = 0.100000, result = 16
group : 1, d : 270, weight = 0.100000, result = 13
group : 1, d : 250, weight = 0.100000, result = 13
group : 1, d : 230, weight = 0.100000, result = 6
group : 1, d : 210, weight = 0.100000, result = 9
group : 1, d : 240, weight = 0.100000, result = 9
group : 1, d : 20, weight = 0.100000, result = 11
group : 1, d : 40, weight = 0.100000, result = 11
group : 1, d : 200, weight = 0.100000, result = 7
group : 1, d : 190, weight = 0.100000, result = 21
group : 1, d : 150, weight = 0.100000, result = 13
group : 1, d : 50, weight = 0.100000, result = 10
group : 1, d : 130, weight = 0.100000, result = 5
group : 1, d : 30, weight = 0.100000, result = 13
group : 1, d : 80, weight = 0.100000, result = 16
group : 1, d : 100, weight = 0.100000, result = 8
group : 1, d : 180, weight = 0.100000, result = 12
